iter	Passed	Remaining
0	164	49315
1	178	26608
2	189	18752
3	199	14765
4	205	12130
5	212	10397
6	218	9125
7	224	8209
8	230	7464
9	237	6873
10	243	6403
11	249	5987
12	256	5653
13	262	5352
14	268	5092
15	274	4874
16	280	4671
17	286	4491
18	292	4326
19	299	4192
20	305	4063
21	311	3941
22	318	3831
23	324	3727
24	330	3632
25	336	3544
26	342	3462
27	348	3384
28	354	3313
29	360	3245
30	366	3179
31	372	3122
32	379	3067
33	385	3014
34	391	2964
35	397	2915
36	403	2869
37	409	2825
38	416	2785
39	422	2746
40	428	2705
41	434	2669
42	440	2633
43	446	2600
44	453	2567
45	459	2537
46	465	2506
47	471	2475
48	478	2451
49	484	2422
50	490	2395
51	496	2369
52	502	2342
53	509	2322
54	515	2296
55	521	2271
56	527	2248
57	533	2225
58	540	2206
59	546	2184
60	552	2163
61	558	2143
62	564	2122
63	570	2103
64	576	2083
65	582	2065
66	589	2048
67	594	2029
68	601	2012
69	606	1994
70	613	1977
71	619	1961
72	625	1944
73	631	1928
74	637	1911
75	643	1896
76	649	1882
77	655	1866
78	661	1851
79	667	1836
80	675	1825
81	684	1820
82	690	1806
83	697	1792
84	703	1778
85	709	1764
86	715	1751
87	721	1737
88	727	1724
89	733	1711
90	739	1699
91	746	1686
92	752	1674
93	758	1661
94	764	1649
95	770	1637
96	776	1625
97	782	1613
98	788	1601
99	794	1589
100	801	1578
101	807	1567
102	813	1556
103	819	1544
104	826	1534
105	832	1523
106	839	1513
107	844	1502
108	850	1490
109	857	1480
110	863	1469
111	870	1460
112	875	1449
113	881	1438
114	888	1429
115	894	1418
116	900	1408
117	906	1398
118	912	1388
119	919	1378
120	925	1368
121	931	1358
122	937	1348
123	943	1339
124	949	1329
125	955	1319
126	961	1310
127	967	1300
128	973	1291
129	980	1282
130	986	1272
131	992	1262
132	998	1253
133	1004	1244
134	1014	1239
135	1020	1230
136	1026	1221
137	1033	1212
138	1039	1203
139	1045	1194
140	1051	1185
141	1057	1176
142	1063	1167
143	1069	1159
144	1076	1150
145	1082	1141
146	1088	1132
147	1094	1124
148	1100	1115
149	1106	1106
150	1113	1098
151	1118	1089
152	1125	1081
153	1131	1072
154	1137	1064
155	1143	1055
156	1149	1047
157	1155	1038
158	1161	1030
159	1169	1022
160	1176	1015
161	1184	1008
162	1191	1001
163	1199	994
164	1204	985
165	1211	977
166	1217	969
167	1223	961
168	1229	953
169	1235	944
170	1241	936
171	1248	928
172	1253	920
173	1260	913
174	1266	904
175	1272	896
176	1279	889
177	1285	880
178	1291	873
179	1297	865
180	1303	857
181	1310	849
182	1316	841
183	1322	833
184	1328	825
185	1334	817
186	1340	810
187	1346	802
188	1353	794
189	1358	786
190	1365	779
191	1371	771
192	1377	763
193	1383	756
194	1389	748
195	1395	740
196	1402	733
197	1408	725
198	1414	717
199	1420	710
200	1426	702
201	1432	694
202	1438	687
203	1444	679
204	1450	672
205	1457	664
206	1462	657
207	1469	649
208	1475	642
209	1481	634
210	1487	627
211	1493	619
212	1500	612
213	1506	605
214	1511	597
215	1518	590
216	1523	582
217	1531	575
218	1536	568
219	1542	561
220	1548	553
221	1554	546
222	1561	539
223	1567	531
224	1573	524
225	1579	517
226	1585	509
227	1591	502
228	1597	495
229	1603	488
230	1610	480
231	1616	473
232	1622	466
233	1628	459
234	1634	452
235	1640	444
236	1646	437
237	1652	430
238	1658	423
239	1664	416
240	1671	409
241	1676	401
242	1683	394
243	1688	387
244	1695	380
245	1701	373
246	1707	366
247	1713	359
248	1718	352
249	1725	345
250	1731	338
251	1737	330
252	1743	323
253	1749	316
254	1755	309
255	1761	302
256	1767	295
257	1773	288
258	1779	281
259	1785	274
260	1791	267
261	1797	260
262	1803	253
263	1809	246
264	1815	239
265	1821	232
266	1828	225
267	1834	219
268	1840	212
269	1846	205
270	1852	198
271	1858	191
272	1864	184
273	1870	177
274	1876	170
275	1882	163
276	1888	156
277	1894	149
278	1899	142
279	1907	136
280	1912	129
281	1921	122
282	1927	115
283	1933	108
284	1939	102
285	1945	95
286	1951	88
287	1956	81
288	1963	74
289	1969	67
290	1975	61
291	1981	54
292	1986	47
293	1993	40
294	1999	33
295	2005	27
296	2011	20
297	2017	13
298	2023	6
299	2029	0
